,RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,Identifier2,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,X,Identifier2.1,Identifier2.2
91,NE5,NE5N.second_round.IMG_0005.MP4,NA, 2024-02-18 21:51:06,FALSE,NE5_EVENT25,NE5_EVENT25_W,W,D,NE5,1,NA,SF,NE5-SF2,partial tail,0,NA,NE5_EVENT25,W
92,NE5,NE5A.second_rou.IMG_0006.MP4,NA, 2024-02-19 03:32:28,FALSE,NE5_EVENT26,NE5_EVENT26_A,A,D,NE5,1,NA,SF,NE5-SF2,partial tail,0,NA,NE5_EVENT26,A
93,NE5,NE5A.second_rou.IMG_0007.MP4,NA, 2024-02-19 05:55:14,FALSE,NE5_EVENT27,NE5_EVENT27_A,A,D,NE5,2,NA,F + M,NE5-F2 + NE5-M1,shaggy tail,0,NA,NE5_EVENT27,A
94,NE5,NE5A.second_rou.IMG_0008.MP4,NA, 2024-02-19 05:55:40,FALSE,NE5_EVENT27,NE5_EVENT27_A,A,D,NE5,2,NA,F + M,NE5-F2 + NE5-M1,shaggy tail,0,NA,NE5_EVENT27,A
95,NE5,NE5A.second_rou.IMG_0009.MP4,NA, 2024-02-19 22:32:02,FALSE,NE5_EVENT28,NE5_EVENT28_A,A,D,NE5,2,NA,F + M,NE5-F2 + NE5-M1,shaggy tail,0,NA,NE5_EVENT28,A
96,NE5,NE5A.second_rou.IMG_0010.MP4,NA, 2024-02-19 22:32:28,FALSE,NE5_EVENT28,NE5_EVENT28_A,A,D,NE5,2,NA,F + M,NE5-F2 + NE5-M1,shaggy tail,0,NA,NE5_EVENT28,A
97,NE5,NE5A.second_rou.IMG_0011.MP4,NA, 2024-02-20 03:14:32,FALSE,NE5_EVENT29,NE5_EVENT29_A,A,D,NE5,2,NA,F + M,NE5-F2 + NE5-M1,shaggy tail,0,NA,NE5_EVENT29,A
98,NE5,NE5A.second_rou.IMG_0012.MP4,NA, 2024-02-20 18:44:33,FALSE,NE5_EVENT29,NE5_EVENT29_A,A,D,NE5,2,NA,F + M,NE5-F2 + NE5-M1,shaggy tail,0,NA,NE5_EVENT29,A
99,NE5,NE5A.second_rou.IMG_0013.MP4,NA, 2024-02-20 18:47:46,FALSE,NE5_EVENT29,NE5_EVENT29_A,A,D,NE5,2,NA,F + M,NE5-F2 + NE5-M1,shaggy tail,0,NA,NE5_EVENT29,A
100,NE5,NE5A.second_rou.IMG_0014.MP4,NA, 2024-02-21 17:34:56,FALSE,NE5_EVENT30,NE5_EVENT30_A,A,L,NE5,1,NA,SM,NE5-SM2,shaggy tail,1,NA,NE5_EVENT30,A
